sample_index,recorded_at_iso,d1_epoch_ms,d1_fsr1,d1_fsr2,d1_fsr3,d1_fsr4,d1_fsr5,d1_fsr6,d2_epoch_ms,d2_fsr1,d2_fsr2,d2_fsr3,d2_fsr4,d2_fsr5,d2_fsr6
234,2026-04-02T19:28:14Z,1775158093261,0,0,0,0,0,0,1775158093669,0,0,0,0,0,0
235,2026-04-02T19:28:14Z,1775158093264,0,0,0,0,0,0,1775158093669,0,0,0,0,0,0
236,2026-04-02T19:28:14Z,1775158093264,0,0,0,0,0,0,1775158093672,0,0,0,0,0,0
237,2026-04-02T19:28:14Z,1775158093267,0,0,0,0,0,0,1775158093672,0,0,0,0,0,0
238,2026-04-02T19:28:14Z,1775158093270,0,0,0,0,0,0,1775158093678,0,0,0,0,0,0
239,2026-04-02T19:28:14Z,1775158093273,0,0,0,0,0,0,1775158093678,0,0,0,0,0,0
240,2026-04-02T19:28:14Z,1775158093273,0,0,0,0,0,0,1775158093678,0,0,0,0,0,0
241,2026-04-02T19:28:14Z,1775158093277,0,0,0,0,0,0,1775158093684,0,0,0,0,0,0
242,2026-04-02T19:28:14Z,1775158093280,0,0,0,0,0,0,1775158093687,0,0,0,0,0,0
243,2026-04-02T19:28:14Z,1775158093280,0,0,0,0,0,0,1775158093687,0,0,0,0,0,0
244,2026-04-02T19:28:14Z,1775158093283,0,0,0,0,0,0,1775158093690,0,0,0,0,0,0
245,2026-04-02T19:28:14Z,1775158093285,0,0,0,0,0,0,1775158093693,0,0,0,0,0,0
246,2026-04-02T19:28:14Z,1775158093285,0,0,0,0,0,0,1775158093693,0,0,0,0,0,0
